model,x1,y1,temperature_c
nrtl,0.6900000000000001,0.7485421960990873,78.66228269707825
ideal,0.7100000000000001,0.848214452864191,82.86359385644948
van_laar,0.7100000000000001,0.7619185273709935,78.59048505929084
nrtl,0.7100000000000001,0.7602057122658559,78.5768035093019
ideal,0.73,0.8606065782728965,82.51980217298866
van_laar,0.73,0.7739225752447275,78.50997133787428
nrtl,0.73,0.7723677689173136,78.49830282802515
ideal,0.75,0.8726677393171327,82.18100656402571
van_laar,0.75,0.7864418811909906,78.43682006655501
nrtl,0.75,0.7850526626928629,78.4271474296821
ideal,0.77,0.8844105312938554,81.84707566298295
van_laar,0.77,0.799503928277166,78.37141655981175
nrtl,0.77,0.7982857759464903,78.36371278051337
ideal,0.79,0.8958469305728998,81.51788302659784
van_laar,0.79,0.8131376981425523,78.31416101430499
nrtl,0.79,0.812093748807201,78.30838207843401
ideal,0.81,0.9069883316613655,81.19330689761414
van_laar,0.81,0.827373898501299,78.26546829741373
nrtl,0.81,0.826504651553352,78.26154568352487
ideal,0.8300000000000001,0.9178455816622925,80.8732299813598
van_laar,0.8300000000000001,0.8422452025831456,78.22576817736162
nrtl,0.8300000000000001,0.8415481597717182,78.2236008685439
ideal,0.85,0.9284290123371554,80.55753923526245
van_laar,0.85,0.8577865044941506,78.19550595210657
nrtl,0.85,0.8572557346042736,78.19495183376357
ideal,0.87,0.9387484699627912,80.24612567042513
van_laar,0.87,0.8740351947026322,78.17514344670779
nrtl,0.87,0.8736608102783273,78.176009940878
ideal,0.89,0.9488133431563659,79.93888416445225
van_laar,0.89,0.8910314601999897,78.16516035989153
nrtl,0.89,0.8907989910595503,78.16719412916525
ideal,0.91,0.9586325888266413,79.63571328478078
van_laar,0.91,0.9088186143608438,78.1660559504665
nrtl,0.91,0.9087082597556901,78.16893148391397
ideal,0.93,0.9682147563959654,79.33651512182404
van_laar,0.93,0.9274434621468409,78.17835106347077
nrtl,0.93,0.9274291999262627,78.1816579326318
ideal,0.9500000000000001,0.9775680104249134,79.04119513129162
van_laar,0.9500000000000001,0.9469567070848247,78.20259050481978
nrtl,0.9500000000000001,0.9470052340165234,78.20581904896851
ideal,0.97,0.986700151760198,78.74966198509203
van_laar,0.97,0.9674134074318712,78.2393457820843
nrtl,0.97,0.9674828797298396,78.24187094781074
ideal,0.99,0.995618637316239,78.46182743027245
van_laar,0.99,0.9888734901550182,78.28921823819262
nrtl,0.99,0.9889120270793309,78.2902812577607
